Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
200012,CSG Holding Co. Ltd. Class B,"0,0028%",Glass,CN,"79.891,06 USD",235.855
KAYSE.E,Kayseri Seker Fabrikasi AS,"0,0028%",Sugar,TR,"79.455,77 USD",91.270
OTOEL,Autohellas Tourist and Trading SA,"0,0028%",Rental and Leasing Services: Consumer,GR,"79.316,11 USD",6.150
000825,Shanxi Taigang Stainless Steel Co. Ltd. Class A,"0,0028%",Iron and Steel,CN,"79.157,95 USD",152.200
001286,Shaanxi Energy Investment Co. Ltd.,"0,0028%",Conventional Electricity,CN,"78.978,80 USD",51.900
688608,Bestechnic Shanghai Co. Ltd.,"0,0028%",Semiconductors,CN,"78.813,73 USD",4.383
002056,Hengdian Group DMEGC Magnetics Co. Ltd. Class A,"0,0028%",Electronic Components,CN,"78.702,39 USD",41.300
002568,Shanghai Bairun Investment Holding Group Co. Ltd. Class A,"0,0028%",Specialty Chemicals,CN,"78.602,96 USD",26.960
601928,Jiangsu Phoenix Publishing & Media Corp. Ltd. Class A,"0,0028%",Publishing,CN,"78.541,54 USD",53.200
300223,Ingenic Semiconductor Co. Ltd. Class A,"0,0028%",Semiconductors,CN,"78.503,02 USD",9.800
300763,Ginlong Technologies Co. Ltd. Class A,"0,0028%",Electrical Components,CN,"78.187,11 USD",9.900
603737,Skshu Paint Co. Ltd. Class A,"0,0028%",Paints and Coatings,CN,"78.127,63 USD",13.132
ISGYO.E,Is Gayrimenkul Yatirim Ortakligi AS,"0,0028%",Office REITs,TR,"77.965,98 USD",150.915
600352,Zhejiang Longsheng Group Co. Ltd. Class A,"0,0028%",Specialty Chemicals,CN,"77.843,13 USD",64.000
300601,Shenzhen Kangtai Biological Products Co. Ltd. Class A,"0,0028%",Biotechnology,CN,"77.841,76 USD",31.000
ZRGYO.E,Ziraat Gayrimenkul Yatirim Ortakligi AS,"0,0027%",Diversified REITs,TR,"77.539,54 USD",306.065
600988,Chifeng Jilong Gold Mining Co. Ltd. Class A,"0,0027%",Gold Mining,CN,"77.050,61 USD",32.000
600378,Haohua Chemical Science & Technology Co. Ltd. Class A,"0,0027%",Chemicals: Diversified,CN,"76.999,02 USD",18.500
ZOREN.E,Zorlu Enerji Elektrik Uretim AS,"0,0027%",Conventional Electricity,TR,"76.887,44 USD",440.656
FGV,FGV Holdings Bhd.,"0,0027%","Farming, Fishing, Ranching and Plantatio",MY,"76.821,75 USD",282.500
600383,Gemdale Corp. Class A,"0,0027%",Real Estate Holding and Development,CN,"76.708,56 USD",131.800
688180,Shanghai Junshi Biosciences Co. Ltd. Class A,"0,0027%",Biotechnology,CN,"76.641,98 USD",20.746
600369,Southwest Securities Co. Ltd. Class A,"0,0027%",Investment Services,CN,"76.492,00 USD",144.400
603568,Zhejiang Weiming Environment Protection Co. Ltd. Class A,"0,0027%",Waste and Disposal Services,CN,"76.484,89 USD",25.688
002850,Shenzhen Kedali Industry Co. Ltd. Class A,"0,0027%",Auto Parts,CN,"76.469,98 USD",6.000
600109,Sinolink Securities Co. Ltd. Class A,"0,0027%",Investment Services,CN,"76.381,92 USD",67.700
601958,Jinduicheng Molybdenum Co. Ltd. Class A,"0,0027%",Nonferrous Metals,CN,"76.299,37 USD",47.600
601136,Capital Securities Co. Ltd.,"0,0027%",Investment Services,CN,"75.934,62 USD",26.700
BTCIM.E,Baticim Bati Anadolu Cimento Sanayii AS,"0,0027%",Cement,TR,"75.643,34 USD",17.928
688099,Amlogic Shanghai Co. Ltd. Class A,"0,0027%",Semiconductors,CN,"75.641,30 USD",9.446
002939,China Great Wall Securities Co. Ltd. Class A,"0,0027%",Investment Services,CN,"75.612,79 USD",75.800
300979,Huali Industrial Group Co. Ltd. Class A,"0,0027%",Footwear,CN,"75.443,09 USD",8.104
002153,Beijing Shiji Information Technology Co. Ltd. Class A,"0,0027%",Computer Services,CN,"75.084,14 USD",82.683
900912,Shanghai Waigaoqiao Free Trade Zone Group Co. Ltd. Class B,"0,0027%",Real Estate Holding and Development,CN,"75.078,00 USD",97.000
601727,Shanghai Electric Group Co. Ltd. Class A,"0,0027%",Machinery: Industrial,CN,"75.071,51 USD",129.600
000021,Shenzhen Kaifa Technology Co. Ltd. Class A,"0,0027%",Computer Hardware,CN,"75.008,77 USD",41.300
000581,Weifu High-Technology Group Co. Ltd. Class A,"0,0027%",Auto Parts,CN,"74.937,22 USD",29.600
603087,Gan & Lee Pharmaceuticals Co. Ltd. Class A,"0,0026%",Biotechnology,CN,"74.769,91 USD",11.200
000032,Shenzhen SED Industry Co. Ltd. Class A,"0,0026%",Engineering and Contracting Services,CN,"74.671,40 USD",34.700
002948,Bank of Qingdao Co. Ltd. Class A,"0,0026%",Banks,CN,"74.268,67 USD",148.700
600707,IRICO Display Devices Co. Ltd.,"0,0026%",Electronic Components,CN,"74.236,75 USD",76.100
300136,Shenzhen Sunway Communication Co. Ltd. Class A,"0,0026%",Telecommunications Equipment,CN,"74.026,38 USD",29.400
USIM3,Usinas Siderurgicas de Minas Gerais S/A Usiminas,"0,0026%",Iron and Steel,BR,"73.972,05 USD",55.700
601000,TangShan Port Group Co. Ltd. Class A,"0,0026%",Transportation Services,CN,"73.806,78 USD",130.200
002797,First Capital Securities Co. Ltd. Class A,"0,0026%",Investment Services,CN,"73.630,12 USD",99.100
002004,Huapont Life Sciences Co. Ltd. Class A,"0,0026%",Pharmaceuticals,CN,"73.451,11 USD",115.300
000598,Chengdu Xingrong Environment Co. Ltd. Class A,"0,0026%",Water,CN,"73.209,09 USD",72.000
600699,Ningbo Joyson Electronic Corp. Class A,"0,0026%",Auto Parts,CN,"73.103,45 USD",33.820
600062,China Resources Double Crane Pharmaceutical Co. Ltd. Class A,"0,0026%",Pharmaceuticals,CN,"73.076,45 USD",25.100
GESAN.E,Girisim Elektrik Taahhut Ticaret Ve Sanayi AS,"0,0026%",Engineering and Contracting Services,TR,"72.890,44 USD",39.064
EKHOA,Egypt Kuwait Holding Co. SAE,"0,0026%",Diversified Financial Services,EG,"72.837,75 USD",110.531
000830,Luxi Chemical Group Co. Ltd. Class A,"0,0026%",Chemicals: Diversified,CN,"72.693,95 USD",43.200
NLCINDIA,NLC India Ltd.,"0,0026%",Conventional Electricity,IN,"72.527,09 USD",25.598
601369,Xi'An Shaangu Power Co. Ltd. Class A,"0,0026%",Machinery: Industrial,CN,"72.521,83 USD",58.500
000887,Anhui Zhongding Sealing Parts Co. Ltd. Class A,"0,0026%",Auto Parts,CN,"72.385,61 USD",40.500
600498,Fiberhome Telecommunication Technologies Co. Ltd. Class A,"0,0025%",Telecommunications Equipment,CN,"71.949,45 USD",32.500
601212,Baiyin Nonferrous Group Co. Ltd. Class A,"0,0025%",Nonferrous Metals,CN,"71.747,60 USD",166.600
DASA3,Diagnosticos da America SA,"0,0025%",Medical Services,BR,"71.577,39 USD",110.000
002756,YongXing Special Materials Technology Co. Ltd. Class A,"0,0025%",Iron and Steel,CN,"71.545,75 USD",12.090
000686,Northeast Securities Co. Ltd. Class A,"0,0025%",Investment Services,CN,"71.517,83 USD",79.600
