Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
TGT,Target Corp.,"0,0955%",Diversified Retailers,US,"24.971.389,44 USD",159.909
ITW,Illinois Tool Works Inc.,"0,0954%",Diversified Industrials,US,"24.948.145,75 USD",102.773
SHW,Sherwin-Williams Co.,"0,0948%",Paints and Coatings,US,"24.793.118,00 USD",81.610
EQIX,Equinix Inc.,"0,0946%",Other Specialty REITs,US,"24.725.892,86 USD",32.407
TDG,TransDigm Group Inc.,"0,0942%",Aerospace,US,"24.640.211,12 USD",18.344
NXPI,NXP Semiconductors NV,"0,094%",Semiconductors,NL,"24.571.990,50 USD",90.305
NAB,National Australia Bank Ltd.,"0,0927%",Banks,AU,"24.240.075,42 USD",1.074.860
PYPL,PayPal Holdings Inc.,"0,0922%",Transaction Processing Services,US,"24.118.556,05 USD",382.895
CEG,Constellation Energy Corp.,"0,0918%",Conventional Electricity,US,"24.008.514,75 USD",110.511
BDX,Becton Dickinson & Co.,"0,0906%",Medical Supplies,US,"23.697.591,26 USD",102.158
4568,Daiichi Sankyo Co. Ltd.,"0,0902%",Pharmaceuticals,JP,"23.576.363,23 USD",664.200
HCA,HCA Healthcare Inc.,"0,0899%",Health Care Facilities,US,"23.499.488,25 USD",69.167
KKR,KKR & Co. Inc.,"0,0898%",Asset Managers and Custodians,US,"23.469.013,56 USD",228.209
EL,EssilorLuxottica SA,"0,0896%",Medical Supplies,FR,"23.416.445,86 USD",105.066
PH,Parker-Hannifin Corp.,"0,0891%",Diversified Industrials,US,"23.301.836,80 USD",43.840
MUV2,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,"0,0889%",Reinsurance,DE,"23.256.150,29 USD",46.784
CSX,CSX Corp.,"0,0886%",Railroads,US,"23.156.212,50 USD",686.110
CRWD,Crowdstrike Holdings Inc. Class A,"0,088%",Software,US,"23.015.222,58 USD",73.374
SLB,Schlumberger Ltd.,"0,0871%",Oil Equipment and Services,CW,"22.763.229,71 USD",496.039
UCG,UniCredit SPA,"0,087%",Banks,IT,"22.742.422,17 USD",575.764
MPC,Marathon Petroleum Corp.,"0,0868%",Oil Refining and Marketing,US,"22.707.807,36 USD",128.576
BN,Brookfield Corp. Class A,"0,0857%",Asset Managers and Custodians,CA,"22.414.502,88 USD",514.816
2317,Hon Hai Precision Industry Co. Ltd.,"0,0856%",Electronic Components,TW,"22.382.666,79 USD",4.215.489
NOC,Northrop Grumman Corp.,"0,0852%",Defense,US,"22.266.234,92 USD",49.396
MBG,Mercedes-Benz Group AG,"0,0848%",Automobiles,DE,"22.175.295,68 USD",307.632
EMR,Emerson Electric Co.,"0,0846%",Electronic Equipment: Other,US,"22.116.493,92 USD",197.187
USB,US Bancorp,"0,0844%",Banks,US,"22.064.755,35 USD",544.137
8766,Tokio Marine Holdings Inc.,"0,0843%",Property and Casualty Insurance,JP,"22.037.984,66 USD",637.900
PSX,Phillips 66,"0,0841%",Oil Refining and Marketing,US,"21.994.791,03 USD",154.773
BMO,Bank of Montreal,"0,0841%",Banks,CA,"21.977.174,49 USD",246.468
