Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
APD,Air Products & Chemicals Inc.,"0,1246%",Specialty Chemicals,US,"4.413.618,30 USD",16.549
FDX,FedEx Corp.,"0,1242%",Delivery Services,US,"4.400.618,88 USD",17.328
MRVL,Marvell Technology Inc.,"0,1237%",Semiconductors,US,"4.382.164,85 USD",63.685
CTAS,Cintas Corp.,"0,1235%",Industrial Suppliers,US,"4.376.974,32 USD",6.456
WELL,Welltower Inc.,"0,1214%",Health Care REITs,US,"4.301.060,96 USD",41.488
ECL,Ecolab Inc.,"0,1214%",Chemicals: Diversified,US,"4.301.040,60 USD",18.523
ORLY,O'Reilly Automotive Inc.,"0,1204%",Specialty Retailers,US,"4.266.278,54 USD",4.429
BNS,Bank of Nova Scotia,"0,1203%",Banks,CA,"4.263.673,20 USD",90.081
ROP,Roper Technologies Inc.,"0,1186%",Software,US,"4.202.943,64 USD",7.889
AON,Aon plc Class A,"0,1179%",Insurance Brokers,IE,"4.176.721,20 USD",14.830
AIG,American International Group Inc.,"0,1168%",Full Line Insurance,US,"4.138.207,64 USD",52.502
MAR,Marriott International Inc./MD Class A,"0,1166%",Hotels and Motels,US,"4.132.163,75 USD",17.875
PCAR,PACCAR Inc.,"0,1165%",Commercial Vehicles and Parts,US,"4.127.247,50 USD",38.393
CSU,Constellation Software Inc./Canada,"0,1161%",Software,CA,"4.113.261,59 USD",1.479
MMM,3M Co.,"0,1161%",Diversified Industrials,US,"4.112.449,38 USD",41.067
AJG,Arthur J Gallagher & Co.,"0,1145%",Insurance Brokers,US,"4.056.826,62 USD",16.014
VLO,Valero Energy Corp.,"0,1127%",Oil Refining and Marketing,US,"3.994.341,66 USD",25.419
SU,Suncor Energy Inc.,"0,1119%",Integrated Oil and Gas,CA,"3.964.704,40 USD",97.203
CARR,Carrier Global Corp.,"0,1113%",Building: Climate Control,US,"3.942.992,81 USD",62.399
EW,Edwards Lifesciences Corp.,"0,1104%",Medical Supplies,US,"3.911.179,57 USD",45.013
COF,Capital One Financial Corp.,"0,1103%",Transaction Processing Services,US,"3.906.352,29 USD",28.383
