Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
TDY,Teledyne Technologies Inc.,"0,0422%",Electronic Equipment: Control and Filter,US,"21.958.083,15 USD",55.317
COO,Cooper Cos. Inc.,"0,0422%",Medical Supplies,US,"21.944.993,90 USD",232.690
CMS,CMS Energy Corp.,"0,0418%",Conventional Electricity,US,"21.724.694,60 USD",345.220
CINF,Cincinnati Financial Corp.,"0,0415%",Property and Casualty Insurance,US,"21.611.321,58 USD",183.801
OMC,Omnicom Group Inc.,"0,0415%",Media Agencies,US,"21.583.545,76 USD",232.181
AVY,Avery Dennison Corp.,"0,0413%",Diversified Materials,US,"21.492.461,65 USD",94.435
NRG,NRG Energy Inc.,"0,0413%",Conventional Electricity,US,"21.486.222,00 USD",265.262
ALGN,Align Technology Inc.,"0,0412%",Medical Supplies,US,"21.420.963,22 USD",83.282
WBD,Warner Bros Discovery Inc.,"0,0411%",Entertainment,US,"21.387.299,04 USD",2.595.546
WAT,Waters Corp.,"0,041%",Electronic Equipment: Control and Filter,US,"21.326.764,90 USD",69.041
CBOE,Cboe Global Markets Inc.,"0,041%",Investment Services,US,"21.324.131,32 USD",123.268
MOH,Molina Healthcare Inc.,"0,041%",Health Care Management Services,US,"21.309.334,62 USD",67.739
STX,Seagate Technology Holdings plc,"0,0409%",Computer Hardware,IE,"21.301.610,40 USD",228.460
MKC,McCormick & Co. Inc./MD,"0,0408%",Food Products,US,"21.205.525,28 USD",293.624
PFG,Principal Financial Group Inc.,"0,0404%",Life Insurance,US,"21.016.022,72 USD",256.168
DRI,Darden Restaurants Inc.,"0,0404%",Restaurants and Bars,US,"20.997.301,41 USD",139.619
RF,Regions Financial Corp.,"0,0402%",Banks,US,"20.892.833,55 USD",1.079.733
SYF,Synchrony Financial,"0,0401%",Transaction Processing Services,US,"20.879.591,40 USD",476.703
DPZ,Domino's Pizza Inc.,"0,0399%",Restaurants and Bars,US,"20.764.304,24 USD",40.828
EXPD,Expeditors International of Washington Inc.,"0,0395%",Transportation Services,US,"20.534.985,90 USD",169.851
J,Jacobs Solutions Inc.,"0,0394%",Professional Business Support Services,US,"20.499.143,44 USD",147.116
ATO,Atmos Energy Corp.,"0,0394%",Gas Distribution,US,"20.472.978,96 USD",176.613
UAL,United Airlines Holdings Inc.,"0,0392%",Airlines,US,"20.376.403,67 USD",384.533
BAX,Baxter International Inc.,"0,039%",Medical Equipment,US,"20.292.277,04 USD",595.256
HOLX,Hologic Inc.,"0,0389%",Medical Equipment,US,"20.259.692,88 USD",274.596
ENPH,Enphase Energy Inc.,"0,0389%",Renewable Energy Equipment,US,"20.254.883,50 USD",158.365
NTRS,Northern Trust Corp.,"0,0389%",Asset Managers and Custodians,US,"20.229.814,80 USD",240.145
TXT,Textron Inc.,"0,0385%",Aerospace,US,"20.053.578,56 USD",228.896
EG,Everest Group Ltd.,"0,0381%",Reinsurance,BM,"19.832.269,83 USD",50.731
MRO,Marathon Oil Corp.,"0,038%",Oil: Crude Producers,US,"19.792.885,76 USD",683.456
EQT,EQT Corp.,"0,038%",Oil: Crude Producers,US,"19.746.169,31 USD",480.559
LVS,Las Vegas Sands Corp.,"0,0375%",Casinos and Gambling,US,"19.517.848,23 USD",433.441
ESS,Essex Property Trust Inc.,"0,0374%",Residential REITs,US,"19.475.676,93 USD",74.967
ILMN,Illumina Inc.,"0,0371%",Biotechnology,US,"19.318.391,40 USD",185.255
LH,Labcorp Holdings Inc.,"0,0371%",Medical Services,US,"19.305.445,68 USD",99.048
WRB,W R Berkley Corp.,"0,037%",Property and Casualty Insurance,US,"19.266.422,07 USD",237.769
CFG,Citizens Financial Group Inc.,"0,0369%",Banks,US,"19.212.405,35 USD",544.415
TSN,Tyson Foods Inc. Class A,"0,0369%",Food Products,US,"19.195.066,25 USD",335.285
CLX,Clorox Co.,"0,0369%",Nondurable Household Products,US,"19.176.317,16 USD",145.761
PKG,Packaging Corp. of America,"0,0367%",Containers and Packaging,US,"19.071.033,15 USD",103.935
BBY,Best Buy Co. Inc.,"0,0366%",Specialty Retailers,US,"19.037.933,82 USD",224.451
ZBRA,Zebra Technologies Corp.,"0,0361%",Electronic Equipment: Control and Filter,US,"18.761.951,46 USD",60.069
LUV,Southwest Airlines Co.,"0,036%",Airlines,US,"18.715.075,72 USD",697.283
K,Kellanova,"0,0358%",Food Products,US,"18.619.958,56 USD",308.584
DGX,Quest Diagnostics Inc.,"0,0355%",Medical Services,US,"18.444.458,46 USD",129.918
IEX,IDEX Corp.,"0,0354%",Electronic Equipment: Control and Filter,US,"18.414.149,12 USD",88.258
MAA,Mid-America Apartment Communities Inc.,"0,0352%",Residential REITs,US,"18.324.821,79 USD",137.049
BG,Bunge Global SA,"0,0351%",Fruit and Grain Processing,CH,"18.263.940,45 USD",169.755
IP,International Paper Co.,"0,035%",Paper,US,"18.207.612,54 USD",403.806
FDS,FactSet Research Systems Inc.,"0,0347%",Financial Data Providers,US,"18.074.464,60 USD",44.710
VRSN,VeriSign Inc.,"0,0345%",Computer Services,US,"17.966.465,12 USD",103.066
MAS,Masco Corp.,"0,0345%",Building Materials: Other,US,"17.954.686,88 USD",256.789
CE,Celanese Corp. Class A,"0,0342%",Chemicals: Diversified,US,"17.798.106,48 USD",117.062
CF,CF Industries Holdings Inc.,"0,0342%",Fertilizers,US,"17.793.503,56 USD",223.172
CCL,Carnival Corp.,"0,0342%",Travel and Tourism,PA,"17.780.104,16 USD",1.179.052
JBL,Jabil Inc.,"0,034%",Electronic Components,US,"17.694.698,00 USD",148.820
SWKS,Skyworks Solutions Inc.,"0,0334%",Semiconductors,US,"17.396.915,00 USD",187.750
EXPE,Expedia Group Inc.,"0,0332%",Travel and Tourism,US,"17.275.705,92 USD",153.072
AMCR,Amcor plc,"0,033%",Containers and Packaging,JE,"17.160.257,97 USD",1.687.341
SNA,Snap-on Inc.,"0,0325%",Machinery: Tools,US,"16.903.404,14 USD",61.949
AES,AES Corp.,"0,0325%",Conventional Electricity,US,"16.891.735,33 USD",782.387
ALB,Albemarle Corp.,"0,0324%",Chemicals: Diversified,US,"16.850.853,63 USD",137.457
CAG,Conagra Brands Inc.,"0,0321%",Food Products,US,"16.673.757,12 USD",558.024
POOL,Pool Corp.,"0,0317%",Recreational Products,US,"16.510.986,80 USD",45.416
DOC,Healthpeak Properties Inc.,"0,0316%",Health Care REITs,US,"16.446.315,20 USD",826.448
GEN,Gen Digital Inc.,"0,0314%",Software,US,"16.311.919,52 USD",656.944
L,Loews Corp.,"0,0314%",Property and Casualty Insurance,US,"16.311.475,20 USD",212.389
AKAM,Akamai Technologies Inc.,"0,0312%",Consumer Digital Services,US,"16.232.948,64 USD",175.986
WRK,Westrock Co.,"0,0311%",Containers and Packaging,US,"16.172.620,92 USD",301.503
TRMB,Trimble Inc.,"0,0311%",Electronic Equipment: Gauges and Meters,US,"16.168.247,04 USD",290.378
RVTY,Revvity Inc.,"0,0305%",Medical Equipment,US,"15.848.818,56 USD",145.056
PNR,Pentair plc,"0,0303%",Electronic Equipment: Pollution Control,IE,"15.773.559,88 USD",193.826
KEY,KeyCorp,"0,0302%",Banks,US,"15.733.037,61 USD",1.094.853
SWK,Stanley Black & Decker Inc.,"0,0301%",Machinery: Tools,US,"15.654.685,96 USD",179.588
LYV,Live Nation Entertainment Inc.,"0,03%",Recreational Services,US,"15.618.958,80 USD",166.620
JBHT,JB Hunt Transport Services Inc.,"0,0295%",Trucking,US,"15.324.779,75 USD",95.333
LNT,Alliant Energy Corp.,"0,0294%",Conventional Electricity,US,"15.305.351,01 USD",297.249
KIM,Kimco Realty Corp.,"0,0289%",Retail REITs,US,"15.034.395,20 USD",776.570
ROL,Rollins Inc.,"0,0288%",Consumer Services: Misc.,US,"14.979.786,33 USD",327.857
NDSN,Nordson Corp.,"0,0287%",Machinery: Industrial,US,"14.945.796,00 USD",63.675
LW,Lamb Weston Holdings Inc.,"0,0287%",Food Products,US,"14.935.931,01 USD",169.169
VTRS,Viatris Inc.,"0,0286%",Pharmaceuticals,US,"14.887.138,20 USD",1.404.447
HST,Host Hotels & Resorts Inc.,"0,0284%",Hotel and Lodging REITs,US,"14.782.739,40 USD",824.010
EVRG,Evergy Inc.,"0,0282%",Conventional Electricity,US,"14.683.807,74 USD",268.639
PODD,Insulet Corp.,"0,028%",Medical Equipment,US,"14.544.286,77 USD",82.083
NWSA,News Corp. Class A,"0,0278%",Publishing,US,"14.437.346,20 USD",530.980
TECH,Bio-Techne Corp.,"0,0273%",Medical Supplies,US,"14.211.142,14 USD",184.106
NI,NiSource Inc.,"0,027%",Gas Distribution,US,"14.055.624,56 USD",483.676
JKHY,Jack Henry & Associates Inc.,"0,027%",Transaction Processing Services,US,"14.031.065,36 USD",85.202
IPG,Interpublic Group of Cos. Inc.,"0,027%",Media Agencies,US,"14.029.605,10 USD",447.230
SJM,J M Smucker Co.,"0,0268%",Food Products,US,"13.934.458,24 USD",124.816
EMN,Eastman Chemical Co.,"0,0267%",Chemicals: Diversified,US,"13.878.055,47 USD",136.959
BBWI,Bath & Body Works Inc.,"0,0265%",Specialty Retailers,US,"13.791.368,50 USD",265.525
UDR,UDR Inc.,"0,0262%",Residential REITs,US,"13.614.669,98 USD",352.529
WBA,Walgreens Boots Alliance Inc.,"0,0261%",Drug Retailers,US,"13.597.761,26 USD",838.333
UHS,Universal Health Services Inc. Class B,"0,026%",Health Care Facilities,US,"13.512.811,00 USD",71.195
LKQ,LKQ Corp.,"0,0259%",Auto Parts,US,"13.465.334,87 USD",312.929
JNPR,Juniper Networks Inc.,"0,0258%",Telecommunications Equipment,US,"13.431.324,48 USD",376.544
KMX,CarMax Inc.,"0,025%",Specialty Retailers,US,"12.994.446,48 USD",184.948
APA,APA Corp.,"0,0248%",Oil: Crude Producers,US,"12.895.994,12 USD",422.404
MGM,MGM Resorts International,"0,0246%",Casinos and Gambling,US,"12.820.496,52 USD",319.156
CPT,Camden Property Trust,"0,0245%",Residential REITs,US,"12.771.507,70 USD",124.418
ALLE,Allegion plc,"0,0242%",Electronic Equipment: Control and Filter,IE,"12.563.905,70 USD",103.135
CRL,Charles River Laboratories International Inc.,"0,0241%",Biotechnology,US,"12.560.385,96 USD",60.259
INCY,Incyte Corp.,"0,0241%",Biotechnology,US,"12.523.266,37 USD",216.703
AOS,A O Smith Corp.,"0,0231%",Building: Climate Control,US,"12.026.595,60 USD",143.790
EPAM,EPAM Systems Inc.,"0,0231%",Computer Services,US,"12.024.687,33 USD",67.581
TAP,Molson Coors Beverage Co. Class B,"0,0229%",Brewers,US,"11.888.398,62 USD",216.902
MOS,Mosaic Co.,"0,0227%",Fertilizers,US,"11.802.176,61 USD",381.577
CHRW,CH Robinson Worldwide Inc.,"0,0226%",Trucking,US,"11.782.681,77 USD",136.421
REG,Regency Centers Corp.,"0,0226%",Retail REITs,US,"11.741.951,80 USD",191.237
HII,Huntington Ingalls Industries Inc.,"0,0225%",Defense,US,"11.727.641,60 USD",46.336
FFIV,F5 Inc.,"0,0224%",Computer Services,US,"11.630.374,07 USD",68.831
TPR,Tapestry Inc.,"0,0224%",Clothing and Accessories,US,"11.629.443,45 USD",267.405
TFX,Teleflex Inc.,"0,0222%",Medical Supplies,US,"11.552.790,06 USD",55.258
CTLT,Catalent Inc.,"0,0218%",Pharmaceuticals,US,"11.357.597,13 USD",211.147
QRVO,Qorvo Inc.,"0,0214%",Semiconductors,US,"11.139.519,02 USD",113.218
GNRC,Generac Holdings Inc.,"0,0205%",Machinery: Engines,US,"10.654.176,54 USD",72.374
WYNN,Wynn Resorts Ltd.,"0,0204%",Casinos and Gambling,US,"10.608.343,04 USD",111.808
HSIC,Henry Schein Inc.,"0,0203%",Medical Supplies,US,"10.538.154,52 USD",151.978
AIZ,Assurant Inc.,"0,0202%",Property and Casualty Insurance,US,"10.528.241,24 USD",60.692
HRL,Hormel Foods Corp.,"0,0202%",Food Products,US,"10.492.771,10 USD",338.695
PNW,Pinnacle West Capital Corp.,"0,0201%",Conventional Electricity,US,"10.449.186,58 USD",132.503
BXP,Boston Properties Inc.,"0,0198%",Office REITs,US,"10.307.408,31 USD",169.893
CPB,Campbell Soup Co.,"0,0197%",Food Products,US,"10.264.561,44 USD",231.288
MTCH,Match Group Inc.,"0,0187%",Consumer Digital Services,US,"9.721.196,25 USD",317.375
BF.B,Brown-Forman Corp. Class B,"0,0187%",Distillers and Vintners,US,"9.712.964,56 USD",211.796
FOXA,Fox Corp. Class A,"0,0186%",Radio and TV Broadcasters,US,"9.679.340,33 USD",281.131
BWA,BorgWarner Inc.,"0,0184%",Auto Parts,US,"9.593.253,20 USD",269.020
SOLV,Solventum Corp.,"0,0184%",Medical Supplies,US,"9.582.519,90 USD",161.485
DVA,DaVita Inc.,"0,018%",Health Care Facilities,US,"9.340.354,56 USD",63.488
HAS,Hasbro Inc.,"0,0176%",Toys,US,"9.166.784,76 USD",153.342
DAY,Dayforce Inc.,"0,0173%",Software,US,"8.998.702,94 USD",181.939
CZR,Caesars Entertainment Inc.,"0,0172%",Casinos and Gambling,US,"8.942.948,84 USD",251.489
FMC,FMC Corp.,"0,0171%",Fertilizers,US,"8.906.562,55 USD",146.129
ETSY,Etsy Inc.,"0,017%",Diversified Retailers,US,"8.869.234,33 USD",139.739
MKTX,MarketAxess Holdings Inc.,"0,017%",Investment Services,US,"8.831.895,21 USD",44.397
AAL,American Airlines Group Inc.,"0,0169%",Airlines,US,"8.773.419,00 USD",762.906
FRT,Federal Realty Investment Trust,"0,0167%",Retail REITs,US,"8.693.309,25 USD",86.115
RL,Ralph Lauren Corp. Class A,"0,0164%",Clothing and Accessories,US,"8.543.032,32 USD",45.714
BEN,Franklin Resources Inc.,"0,016%",Asset Managers and Custodians,US,"8.312.108,80 USD",352.208
GL,Globe Life Inc.,"0,0159%",Life Insurance,US,"8.295.779,64 USD",100.239
NCLH,Norwegian Cruise Line Holdings Ltd.,"0,0159%",Travel and Tourism,BM,"8.275.730,80 USD",498.538
IVZ,Invesco Ltd.,"0,0158%",Asset Managers and Custodians,BM,"8.227.625,49 USD",523.719
PAYC,Paycom Software Inc.,"0,0157%",Software,US,"8.175.412,56 USD",56.258
CMA,Comerica Inc.,"0,0152%",Banks,US,"7.896.647,64 USD",154.111
RHI,Robert Half Inc.,"0,0151%",Business Training and Employment Agencie,US,"7.838.500,74 USD",122.038
MHK,Mohawk Industries Inc.,"0,0145%",Building Materials: Other,US,"7.543.565,24 USD",61.868
BIO,Bio-Rad Laboratories Inc. Class A,"0,0135%",Medical Equipment,US,"7.026.061,98 USD",24.493
PARA,Paramount Global Class B,"0,0129%",Radio and TV Broadcasters,US,"6.695.980,65 USD",562.215
FOX,Fox Corp. Class B,"0,0094%",Radio and TV Broadcasters,US,"4.874.267,58 USD",152.607
NWS,News Corp. Class B,"0,0026%",Publishing,US,"1.327.534,08 USD",47.616
